id,question,option_a,option_b,option_c,option_d,answer,category
1,¿Cuál es la capital de Francia?,Berlín,Madrid,París,Roma,París,Geografía
2,¿Cuánto es 2 + 2?,3,4,5,6,4,Matemáticas
3,¿Cuál es el océano más grande?,Atlántico,Índico,Pacífico,Ártico,Pacífico,Geografía
4,"¿Quién escribió ""Don Quijote de la Mancha""?",Miguel de Cervantes,Gabriel García Márquez,Pablo Neruda,Jorge Luis Borges,Miguel de Cervantes,Literatura
5,¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Yangtsé,Misisipi,Amazonas,Geografía
6,¿En qué año llegó el hombre a la luna?,1965,1969,1972,1980,1969,Historia
7,¿Cuál es el país más grande del mundo?,China,Estados Unidos,Rusia,Canadá,Rusia,Geografía
8,¿Qué instrumento musical tiene cuerdas?,Piano,Violín,Flauta,Batería,Violín,Música
9,¿Cuál es el animal terrestre más rápido?,León,Tigre,Leopardo,Guepardo,Guepardo,Ciencia
10,¿Cuál es el planeta más cercano al sol?,Venus,Marte,Mercurio,Júpiter,Mercurio,Ciencia
11,¿Qué significa CPU?,Central Processing Unit,Central Print Unit,Control Processing Unit,Central Processing Universal,Central Processing Unit,Informática
12,¿Qué es una GPU?,Graphics Processing Unit,General Processing Unit,Graphics Print Unit,General Print Unit,Graphics Processing Unit,Informática
13,¿Qué es un SSD?,Solid State Drive,Solid State Disk,Solid State Device,Solid State Directory,Solid State Drive,Informática
16,¿Qué significa SQL?,Structured Query Language,Structured Question Language,Sequential Query Language,Simple Query Language,Structured Query Language,Bases de Datos
17,¿Qué es una clave primaria?,Una clave secundaria,Una clave principal,Un identificador único,Un índice,Un identificador único,Bases de Datos
18,¿Qué tipo de base de datos es MySQL?,Relacional,NoSQL,Orientada a objetos,Distribuida,Relacional,Bases de Datos
19,¿Qué comando SQL se utiliza para insertar datos en una tabla?,INSERT INTO,UPDATE,DELETE,SELECT,INSERT INTO,Bases de Datos
20,¿Qué es una consulta SQL?,Una instrucción para manipular datos,Un comando para borrar datos,Un comando para crear una base de datos,Una clave primaria,Una instrucción para manipular datos,Bases de Datos
21,¿Qué significa HTML?,HyperText Markup Language,HyperTool Markup Language,HyperType Markup Language,HyperText Marking Language,HyperText Markup Language,Programación Web
22,¿Qué lenguaje se utiliza para dar estilo a una página web?,HTML,JavaScript,CSS,Python,CSS,Programación Web
23,¿Qué es una API?,Application Performance Interface,Application Programming Interface,Applied Programming Interface,Advanced Programming Interface,Application Programming Interface,Programación Web
24,¿Qué significa CSS?,Cascading Style Sheets,Cascading Simple Sheets,Creative Style Sheets,Creative Simple Sheets,Cascading Style Sheets,Programación Web
25,¿Qué framework de JavaScript es desarrollado por Facebook?,Angular,Vue,React,Ember,React,Programación Web
26,¿Cuál es la capital de Honduras?,Tegucigalpa,San Pedro Sula,La Ceiba,Choluteca,Tegucigalpa,Honduras
27,¿En qué año se independizó Honduras?,1821,1840,1901,1850,1821,Honduras
28,¿Cuál es la moneda oficial de Honduras?,Dólar,Peso,Lempira,Bolívar,Lempira,Honduras
29,¿Quién es conocido como el héroe nacional de Honduras?,Francisco Morazán,Simón Bolívar,José Cecilio del Valle,Lempira,Lempira,Honduras
30,¿Cuál es el plato típico más conocido de Honduras?,Tacos,Baleadas,Arepas,Pupusas,Baleadas,Honduras
31,¿Cuál es el río más largo de Honduras?,Río Ulúa,Río Choluteca,Río Patuca,Río Aguán,Río Patuca,Honduras
32,¿Cuál es el principal producto de exportación de Honduras?,Café,Maíz,Petróleo,Carne,Café,Honduras
33,¿Cuál es el ave nacional de Honduras?,Águila,Guacamaya,Quetzal,Colibrí,Guacamaya,Honduras
34,¿En qué departamento se encuentra la ciudad de Copán?,Cortés,Atlántida,Colón,Copán,Copán,Honduras
35,¿Qué país limita al oeste con Honduras?,Nicaragua,El Salvador,Guatemala,Belice,Guatemala,Honduras
36,¿Cuál es el sitio arqueológico más famoso de Honduras?,Copán,Tikal,Palenque,Uxmal,Copán,Honduras
37,¿Qué instrumento musical es típico de la cultura garífuna en Honduras?,Tambor,Maracas,Guitarra,Flauta,Tambor,Honduras
38,¿Cuál es el departamento más grande de Honduras por área?,Olancho,Colón,Yoro,Francisco Morazán,Olancho,Honduras
39,¿Qué celebración se realiza en La Ceiba cada año en el mes de mayo?,Carnaval de La Ceiba,Feria Juniana,Festival de las Flores,Semana Santa,Carnaval de La Ceiba,Honduras
40,¿Quién escribió el himno nacional de Honduras?,Augusto C. Coello,José Trinidad Reyes,Juan Ramón Molina,Rafael Heliodoro Valle,Augusto C. Coello,Honduras
41,¿Cuál es el principal puerto marítimo de Honduras en el Caribe?,Puerto Cortés,La Ceiba,Tela,Trujillo,Puerto Cortés,Honduras
42,¿Qué isla hondureña es famosa por sus sitios de buceo?,Roatán,Guanaja,Utila,Amapala,Roatán,Honduras
43,¿Qué flor es el símbolo nacional de Honduras?,Orquídea,Rosa,Girasol,Flor de Izote,Orquídea,Honduras
44,¿Cuál es el baile tradicional más conocido de Honduras?,Punta,Cumbia,Salsa,Bachata,Punta,Honduras
14,¿Quien desarrollo Windows OS?,Apple,Microsoft,Google,IBM,Microsoft,Informática
15,¿Qué lenguaje es conocido como el lenguaje de la web?,Python,Java,JavaScript,C++,JavaScript,Informática